name_of_covered_entity,state,covered_entity_type,individuals_affected,breach_submission_date,type_of_breach,location_of_breached_information
Mercy Health Physician Partners,MI,Healthcare Provider,2487.0,2/10/2020,Unauthorized Access/Disclosure,Paper/Films
"VibrantCare Rehabilitation, Inc.",CA,Healthcare Provider,1655.0,2/8/2020,Hacking/IT Incident,Email
Overlake Medical Center & Clinics,WA,Healthcare Provider,109234.0,2/7/2020,Hacking/IT Incident,Email
Shields Health Solutions,MA,Business Associate,39762.0,2/7/2020,Hacking/IT Incident,Email
JDC Healthcare Management,TX,Healthcare Provider,45748.0,2/7/2020,Hacking/IT Incident,Email
Lincoln National Life Insurance Company and its affiliate Lincoln Life & Annuity Company of New York,IN,Health Plan,2468.0,2/7/2020,Hacking/IT Incident,Email
"Vision Care Specialists, P.C. a part of MyEyeDr. Optometry of Colorado, PC",VA,Healthcare Provider,1070.0,2/7/2020,Hacking/IT Incident,Network Server
"Kaiser Health Plan, Southern California",CA,Health Plan,167095.0,2/6/2020,Unauthorized Access/Disclosure,Paper/Films
Health Share of Oregon,OR,Health Plan,654362.0,2/5/2020,Theft,Laptop
UnitedHealth Group Health Plan Single Affiliated Covered Entity,MN,Health Plan,3335.0,2/4/2020,Hacking/IT Incident,Network Server
Arizona Pain and Spine Institute,AZ,Healthcare Provider,530.0,2/3/2020,Theft,Laptop
Iredell-Statesville Schools Board of Eduction,NC,Health Plan,959.0,2/3/2020,Hacking/IT Incident,Email
Original Medicare,MD,Health Plan,9965.0,1/31/2020,Unauthorized Access/Disclosure,Network Server
MHMR of Tarrant County,TX,Healthcare Provider,6524.0,1/31/2020,Hacking/IT Incident,Email
Hospital Sisters Health System,IL,Healthcare Provider,16167.0,1/31/2020,Hacking/IT Incident,Email
Lake County Behavioral Health Services,CA,Healthcare Provider,1178.0,1/31/2020,Theft,Paper/Films
Virginia Department of Medical Assistance Services,VA,Health Plan,6120.0,1/31/2020,Hacking/IT Incident,"Electronic Medical Record, Network Server"
Robert S. Smith MD Inc DBA Boston Scientific Pathology,GA,Healthcare Provider,6940.0,1/31/2020,Unauthorized Access/Disclosure,Paper/Films
Jefferson Center for Mental Health,CO,Healthcare Provider,1319.0,1/30/2020,Theft,Paper/Films
"Personal Touch Home Care of VA, Inc.",VA,Healthcare Provider,33324.0,1/28/2020,Hacking/IT Incident,"Network Server, Other"
"Personal Touch Home Care of W. VA, Inc.",WV,Healthcare Provider,1169.0,1/28/2020,Hacking/IT Incident,"Network Server, Other"
"Personal Touch Hospice of VA, Inc.",VA,Healthcare Provider,1657.0,1/28/2020,Hacking/IT Incident,"Network Server, Other"
"Personal Touch Home Care of Mass., Inc.",NY,Healthcare Provider,2015.0,1/28/2020,Hacking/IT Incident,"Network Server, Other"
"Personal Touch Home Services of San Antonio, Inc.",TX,Healthcare Provider,5930.0,1/28/2020,Hacking/IT Incident,"Network Server, Other"
"Personal Touch Home-Aides, Inc.",NY,Healthcare Provider,2633.0,1/28/2020,Hacking/IT Incident,"Network Server, Other"
"Personal Touch Home Services of Dallas, Inc.",TX,Healthcare Provider,1700.0,1/28/2020,Hacking/IT Incident,"Network Server, Other"
"Personal Touch Home Care of S.E. Mass., Inc.",NY,Healthcare Provider,2863.0,1/28/2020,Hacking/IT Incident,"Network Server, Other"
Personal Touch Home Aides Inc.,NY,Healthcare Provider,1890.0,1/28/2020,Hacking/IT Incident,"Network Server, Other"
"Personal Touch Home Care of PA, Inc.",NY,Healthcare Provider,9302.0,1/28/2020,Hacking/IT Incident,Network Server
"Personal Touch Home Care of Ohio, Inc.",NY,Healthcare Provider,15808.0,1/28/2020,Hacking/IT Incident,"Network Server, Other"
"Personal Touch Home Care of Greater Portsmouth, Inc.",NY,Healthcare Provider,1957.0,1/28/2020,Hacking/IT Incident,"Network Server, Other"
"Personal Touch Home Aides of Baltimore, Inc.",NY,Healthcare Provider,804.0,1/28/2020,Hacking/IT Incident,"Network Server, Other"
"Personal Touch Home Care of Baltimore, Inc.",NY,Healthcare Provider,9058.0,1/28/2020,Hacking/IT Incident,"Network Server, Other"
"Personal Touch Home Care of KY, Inc.",KY,Healthcare Provider,24013.0,1/28/2020,Hacking/IT Incident,"Network Server, Other"
"Central Kansas Orthopedic Group, LLC",KS,Healthcare Provider,17214.0,1/28/2020,Hacking/IT Incident,Network Server
"Personal Touch Home Care of Indiana, Inc.",IN,Healthcare Provider,3593.0,1/28/2020,Hacking/IT Incident,"Network Server, Other"
"Personal Touch Home Aides of New York, Inc.",NY,Healthcare Provider,38693.0,1/28/2020,Hacking/IT Incident,"Network Server, Other"
Iowa Department of Human Services,IA,Health Plan,4501.0,1/27/2020,Improper Disposal,Paper/Films
Beaumont Health,MI,Healthcare Provider,1182.0,1/24/2020,Unauthorized Access/Disclosure,Electronic Medical Record
Cedarbrook Senior Care and Rehabilitation / County of Lehigh,PA,Healthcare Provider,688.0,1/24/2020,Unauthorized Access/Disclosure,Email
Lafayette Regional Rehabilitation Hospital,IN,Healthcare Provider,1360.0,1/24/2020,Hacking/IT Incident,Email
Cook County Health,IL,Healthcare Provider,2713.0,1/24/2020,Unauthorized Access/Disclosure,Network Server
Village Senior Services Corporation d/b/a VillageCareMAX,NY,Health Plan,2645.0,1/24/2020,Hacking/IT Incident,Email
Village Center for Care d/b/a VillageCare Rehabilitative and Nursing Center,NY,Healthcare Provider,674.0,1/24/2020,Hacking/IT Incident,"Email, Other"
"Manchester Ophthalmology, LLC",CT,Healthcare Provider,6846.0,1/24/2020,Hacking/IT Incident,Network Server
"REVA, INC. ",FL,Healthcare Provider,1000.0,1/22/2020,Hacking/IT Incident,Email
UnitedHealth Group Health Plan Single Affiliated Covered Entity,MN,Health Plan,934.0,1/22/2020,Unauthorized Access/Disclosure,Paper/Films
NeurAbilities Healthcare,NJ,Healthcare Provider,11747.0,1/21/2020,Hacking/IT Incident,Email
"Solara Medical Supplies, LLC",CA,Healthcare Provider,1531.0,1/17/2020,Unauthorized Access/Disclosure,Paper/Films
Fondren Orthopedic Group L.L.P.,TX,Healthcare Provider,30049.0,1/17/2020,Hacking/IT Incident,Network Server
Roper St. Francis Healthcare,SC,Healthcare Provider,1634.0,1/17/2020,Improper Disposal,Paper/Films
Phoenix Childrenâ€™s Hospital,AZ,Healthcare Provider,1860.0,1/14/2020,Hacking/IT Incident,Email
Children's Hope Alliance,NC,Healthcare Provider,4564.0,1/14/2020,Hacking/IT Incident,Email
PIH Health,CA,Healthcare Provider,199548.0,1/10/2020,Hacking/IT Incident,Email
Spectrum Healthcare Partners,ME,Healthcare Provider,11308.0,1/10/2020,Hacking/IT Incident,Email
"InterMed, PA",ME,Healthcare Provider,33000.0,1/8/2020,Hacking/IT Incident,Email
"CAH Holdings, Inc. ",AL,Business Associate,1158.0,1/6/2020,Hacking/IT Incident,Email
"RCM Enterprise Services, Inc.",FL,Business Associate,5965.0,1/6/2020,Unauthorized Access/Disclosure,Paper/Films
"Native American Rehabilitation Association of the Northwest, Inc.",OR,Healthcare Provider,25187.0,1/3/2020,Hacking/IT Incident,Email
Douglas County Hospital dba Alomere Health,MN,Healthcare Provider,49859.0,1/3/2020,Hacking/IT Incident,Email
Lawrenceville Internal Medicine Associates,NJ,Healthcare Provider,8031.0,1/2/2020,Unauthorized Access/Disclosure,Email
"SEES Group, LLC",TN,Healthcare Provider,13000.0,12/31/2019,Hacking/IT Incident,Email
"Life Line Screening of America, Ltd.",TX,Healthcare Provider,2802.0,12/30/2019,Hacking/IT Incident,Network Server
"The Center for Facial Restoration, Inc.",FL,Healthcare Provider,3600.0,12/26/2019,Hacking/IT Incident,Network Server
Ann & Robert H. Lurie Children's Hospital of Chicago,IL,Healthcare Provider,4195.0,12/26/2019,Unauthorized Access/Disclosure,Electronic Medical Record
btyDENTAL,AK,Healthcare Provider,2008.0,12/26/2019,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record, Email, Network Server"
"Baylor Miraca Genetics Laboratories, LLC d/b/a Baylor Genetics",TX,Business Associate,1240.0,12/24/2019,Hacking/IT Incident,Email
"PediHealth, PLLC, dba Children's Choice Pediatrics",TX,Healthcare Provider,12689.0,12/20/2019,Hacking/IT Incident,Network Server
Roosevelt General Hospital,NM,Healthcare Provider,28847.0,12/19/2019,Hacking/IT Incident,Network Server
"Texas Family Psychology Associates, P.C. dba Compass Psychological Associates",TX,Healthcare Provider,12000.0,12/17/2019,Unauthorized Access/Disclosure,Electronic Medical Record
San Francisco Department of Public Health - Zuckerberg SF General Hospital,CA,Healthcare Provider,1174.0,12/16/2019,Improper Disposal,Paper/Films
AFLAC,GA,Health Plan,1601.0,12/16/2019,Unauthorized Access/Disclosure,Network Server
Texas Children's Hospital,TX,Healthcare Provider,597.0,12/16/2019,Unauthorized Access/Disclosure,Paper/Films
North Ottawa Community Health System,MI,Healthcare Provider,4013.0,12/16/2019,Unauthorized Access/Disclosure,Electronic Medical Record
"INTEGRIS Health, Inc.",OK,Healthcare Provider,1245218.0,12/16/2019,Loss,Other Portable Electronic Device
Colorado Department of Human Services,CO,Healthcare Provider,12230.0,12/16/2019,Unauthorized Access/Disclosure,Other
Western Health Advantage,CA,Health Plan,869.0,12/13/2019,Unauthorized Access/Disclosure,Network Server
"Vimly Benefit Solutions, Inc.",WA,Business Associate,2675.0,12/13/2019,Hacking/IT Incident,Email
Sinai Health System,IL,Healthcare Provider,12578.0,12/13/2019,Hacking/IT Incident,Email
Prestige Health Choice,FL,Health Plan,4665.0,12/13/2019,Unauthorized Access/Disclosure,Other Portable Electronic Device
Therapeutic Oasis of the Palm Beaches LLC,FL,Healthcare Provider,1100.0,12/13/2019,Theft,Desktop Computer
"Marion Eye Center, LTD.",IL,Healthcare Provider,811.0,12/13/2019,Loss,Paper/Films
Aetna affiliated covered entity (ACE),CT,Health Plan,5991.0,12/13/2019,Hacking/IT Incident,Email
Service Benefit Plan Administrative Services Corporation,DC,Business Associate,11536.0,12/12/2019,Unauthorized Access/Disclosure,Network Server
Jewish Social Services Agency,MD,Healthcare Provider,3145.0,12/12/2019,Hacking/IT Incident,Email
Cheyenne Regional Medical Center,WY,Healthcare Provider,17549.0,12/10/2019,Hacking/IT Incident,Email
Starmount Life Insurance Company,LA,Health Plan,630.0,12/9/2019,Hacking/IT Incident,Email
Anwan Wellness LLC,GA,Healthcare Provider,530.0,12/9/2019,Unauthorized Access/Disclosure,Electronic Medical Record
"Family Care Medical Specialists Group, Inc.",CA,Healthcare Provider,2490.0,12/8/2019,Unauthorized Access/Disclosure,Paper/Films
Adventist Health Simi Valley,CA,Healthcare Provider,54708.0,12/6/2019,Hacking/IT Incident,Email
Childrenâ€™s Hope Alliance,NC,Healthcare Provider,1002.0,12/6/2019,Theft,Laptop
Beech Brook,OH,Healthcare Provider,2636.0,12/6/2019,Hacking/IT Incident,Email
"Speight Family Medical, LLC",TN,Healthcare Provider,2000.0,12/6/2019,Hacking/IT Incident,Network Server
"Equinox, Inc.",NY,Healthcare Provider,1021.0,12/6/2019,Hacking/IT Incident,Email
"Truman Medical Center, Incorporated",MO,Healthcare Provider,114466.0,12/5/2019,Theft,Laptop
Conway Medical Center,SC,Healthcare Provider,2550.0,12/5/2019,Hacking/IT Incident,"Electronic Medical Record, Email"
Sunrise Community Health,CO,Healthcare Provider,18404.0,12/5/2019,Hacking/IT Incident,Email
Children's Hope Alliance,NC,Business Associate,4564.0,12/3/2019,Hacking/IT Incident,Email
Walgreen Company,IL,Healthcare Provider,3700.0,12/3/2019,Hacking/IT Incident,"Electronic Medical Record, Other"
Healthcare Administrative Partners,PA,Business Associate,17693.0,12/3/2019,Hacking/IT Incident,Email
"Sunshine Behavioral Health Group, LLC",CA,Business Associate,3638.0,12/2/2019,Unauthorized Access/Disclosure,Network Server
RiverKids Pediatric Home Health,TX,Healthcare Provider,10000.0,12/2/2019,Hacking/IT Incident,Email
Katherine Shaw Bethea Hospital ,IL,Healthcare Provider,3983.0,11/30/2019,Hacking/IT Incident,Email
San Francisco VA Health Care System,CA,Healthcare Provider,735.0,11/29/2019,Theft,"Other, Paper/Films"
Beer Industry - Local Union No. 703 Health and Welfare Fund,IL,Health Plan,9279.0,11/28/2019,Unauthorized Access/Disclosure,Email
"Loudoun Medical Group d/b/a Comprehensive Sleep Care Center (""CSCC"")",VA,Healthcare Provider,15575.0,11/27/2019,Hacking/IT Incident,Email
Nebraska Medicine,NE,Healthcare Provider,1149.0,11/27/2019,Unauthorized Access/Disclosure,Electronic Medical Record
"Ivy Rehab Network, Inc. and its affiliated companies",NY,Healthcare Provider,125000.0,11/26/2019,Hacking/IT Incident,Email
"Illinois Gastroenterology Group, LLC",IL,Healthcare Provider,1481.0,11/25/2019,Hacking/IT Incident,Email
Penn-Mar Human Services,MD,Healthcare Provider,536.0,11/25/2019,Hacking/IT Incident,Email
Upper Peninsula Health Plan,MI,Health Plan,812.0,11/25/2019,Hacking/IT Incident,Email
"La Clinica de La Raza, Inc.",CA,Healthcare Provider,2477.0,11/22/2019,Theft,Other Portable Electronic Device
Elizabeth Family Health ,CO,Healthcare Provider,28375.0,11/22/2019,Theft,Paper/Films
"GeneDx, Inc. ",NJ,Healthcare Provider,851.0,11/22/2019,Hacking/IT Incident,Network Server
Southeastern Minnesota Oral & Maxillofacial Surgery,MN,Healthcare Provider,80000.0,11/22/2019,Hacking/IT Incident,Network Server
"OmniSeq, Inc.",NY,Healthcare Provider,3977.0,11/21/2019,Hacking/IT Incident,Email
"Ronald E. Rosenbaum DMD, PA",FL,Healthcare Provider,1522.0,11/21/2019,Hacking/IT Incident,Paper/Films
VA St. Louis Health Care System,MO,Healthcare Provider,595.0,11/21/2019,Unauthorized Access/Disclosure,Paper/Films
Saint Francis Medical Center,MO,Healthcare Provider,107054.0,11/20/2019,Hacking/IT Incident,Electronic Medical Record
"Human Services, Inc.",PA,Healthcare Provider,1559.0,11/18/2019,Hacking/IT Incident,Email
"Medical Park Family Care, Inc.",AK,Healthcare Provider,500.0,11/18/2019,Unauthorized Access/Disclosure,Electronic Medical Record
Choice Cancer Care,TX,Healthcare Provider,14673.0,11/15/2019,Hacking/IT Incident,Email
Ascension Borgess Hospital ,MI,Healthcare Provider,996.0,11/14/2019,Unauthorized Access/Disclosure,Email
Gateway Health Plan LP,PA,Health Plan,753.0,11/14/2019,Hacking/IT Incident,Email
"Solara Medical Supplies, LLC",CA,Healthcare Provider,114007.0,11/13/2019,Hacking/IT Incident,Email
Select Health Network,IN,Business Associate,56790.0,11/13/2019,Hacking/IT Incident,Email
SALIH M MAYALIDAG DENTAL CORP,CA,Healthcare Provider,6000.0,11/12/2019,Hacking/IT Incident,Network Server
University of North Carolina at Chapel Hill School of Medicine,NC,Healthcare Provider,3716.0,11/12/2019,Hacking/IT Incident,Email
"Starling Physicians, P.C.",CT,Healthcare Provider,977.0,11/11/2019,Hacking/IT Incident,Email
"Arizona Dental Insurance Services, Inc. d.b.a. Delta Dental of Arizona",AZ,Health Plan,24769.0,11/8/2019,Hacking/IT Incident,Email
Main Street Clinical Associates,NC,Healthcare Provider,3031.0,11/8/2019,Unauthorized Access/Disclosure,"Laptop, Other Portable Electronic Device, Paper/Films"
Outreach Health Services,TX,Healthcare Provider,60414.0,11/8/2019,Hacking/IT Incident,Email
Kaiser Foundation Health Plan (Kaiser Permanente),CA,Health Plan,515.0,11/7/2019,Unauthorized Access/Disclosure,Paper/Films
Aegis Medical Group,FL,Healthcare Provider,9800.0,11/7/2019,Unauthorized Access/Disclosure,"Electronic Medical Record, Laptop, Network Server, Paper/Films"
The Brooklyn Hospital Center,NY,Healthcare Provider,26312.0,11/1/2019,Hacking/IT Incident,Network Server
Washington University School of Medicine,MO,Healthcare Provider,3237.0,11/1/2019,Unauthorized Access/Disclosure,Email
Evergreen Psychological Services,TX,Healthcare Provider,4174.0,11/1/2019,Theft,Desktop Computer
Utah Valley Eye Center,UT,Healthcare Provider,20418.0,11/1/2019,Hacking/IT Incident,Desktop Computer
Prisma Health - Midlands,SC,Healthcare Provider,19060.0,10/28/2019,Hacking/IT Incident,Other
The Guidance Center ,CA,Healthcare Provider,1189.0,10/28/2019,Hacking/IT Incident,Email
Children's Minnesota,MN,Healthcare Provider,37942.0,10/25/2019,Unauthorized Access/Disclosure,Network Server
Delta Dental of Illinois,IL,Health Plan,15466.0,10/25/2019,Hacking/IT Incident,Email
 Virginia Department of Behavioral Health & Developmental Services,VA,Healthcare Provider,1442.0,10/25/2019,Unauthorized Access/Disclosure,Network Server
Betty Jean Kerr People's Health Centers,MO,Healthcare Provider,152000.0,10/25/2019,Hacking/IT Incident,Network Server
"The Kroger Co., for itself and its affiliates and subsidiaries",OH,Healthcare Provider,4812.0,10/25/2019,Loss,Paper/Films
"The Kroger Co., for itself and its affiliates and subsidiaries",OH,Healthcare Provider,2752.0,10/25/2019,Loss,Paper/Films
Corpus Christi Tots & Teens Pediatrics,TX,Healthcare Provider,31787.0,10/24/2019,Hacking/IT Incident,Network Server
The Affiliated Sante Group,MD,Healthcare Provider,679.0,10/24/2019,Theft,Laptop
Wheatland Dental Care,IL,Business Associate,955.0,10/24/2019,Hacking/IT Incident,Other
"Greater Cincinnati Pathologists, Inc.",OH,Healthcare Provider,7725.0,10/23/2019,Hacking/IT Incident,Email
Kalispell Regional Healthcare,MT,Healthcare Provider,149661.0,10/22/2019,Hacking/IT Incident,Email
Texas Health Harris Methodist Hospital Hurst-Euless-Bedford,TX,Healthcare Provider,4804.0,10/22/2019,Unauthorized Access/Disclosure,Other
Texas Health Presbyterian Hospital Dallas,TX,Healthcare Provider,12415.0,10/22/2019,Unauthorized Access/Disclosure,Other
Texas Health Harris Methodist Hospital Alliance,TX,Healthcare Provider,3784.0,10/22/2019,Unauthorized Access/Disclosure,Other
Texas Health Presbyterian Hospital Denton,TX,Healthcare Provider,6688.0,10/22/2019,Unauthorized Access/Disclosure,Other
Texas Health Harris Methodist Hospital Azle,TX,Healthcare Provider,2113.0,10/22/2019,Unauthorized Access/Disclosure,Other
Texas Health Harris Methodist Hospital Cleburne,TX,Healthcare Provider,2737.0,10/22/2019,Unauthorized Access/Disclosure,Other
Texas Health Harris Methodist Hospital Southwest Fort Worth,TX,Healthcare Provider,7478.0,10/22/2019,Unauthorized Access/Disclosure,Other
Texas Health Presbyterian Hospital Rockwall,TX,Healthcare Provider,4789.0,10/22/2019,Unauthorized Access/Disclosure,Other
Texas Health Harris Methodist Hospital Stephenville,TX,Healthcare Provider,1348.0,10/22/2019,Unauthorized Access/Disclosure,Other
Texas Health Harris Methodist Southlake,TX,Healthcare Provider,525.0,10/22/2019,Unauthorized Access/Disclosure,Other
Texas Health Arlington Memorial,TX,Healthcare Provider,6187.0,10/22/2019,Unauthorized Access/Disclosure,Other
Texas Health Presbyterian Hospital Plano,TX,Healthcare Provider,9678.0,10/22/2019,Unauthorized Access/Disclosure,Other
 Texas Health Harris Methodist Hospital Kaufman,TX,Healthcare Provider,2157.0,10/22/2019,Unauthorized Access/Disclosure,Other
Texas Health Harris Methodist Hospital Fort Worth,TX,Healthcare Provider,14881.0,10/22/2019,Unauthorized Access/Disclosure,Other
Texas Health Presbyterian Hospital Allen,TX,Healthcare Provider,2993.0,10/22/2019,Unauthorized Access/Disclosure,Other
Self Regional Healthcare,SC,Healthcare Provider,52327.0,10/21/2019,Hacking/IT Incident,Email
"United States Medical Supply, LLC.",FL,Healthcare Provider,674.0,10/18/2019,Unauthorized Access/Disclosure,Email
Roswell Park Comprehensive Cancer Center,NY,Healthcare Provider,584.0,10/18/2019,Unauthorized Access/Disclosure,Electronic Medical Record
Chronic Care Management Inc. ,OH,Business Associate,612.0,10/17/2019,Unauthorized Access/Disclosure,Email
"Buckhead Smile Center, P.C.",GA,Healthcare Provider,1655.0,10/17/2019,Unauthorized Access/Disclosure,Email
Artesia General Hospital,NM,Healthcare Provider,858.0,10/17/2019,Hacking/IT Incident,Desktop Computer
Walmart Inc.,AR,Healthcare Provider,4211.0,10/17/2019,Loss,Other Portable Electronic Device
Seattle Cancer Care Alliance,WA,Healthcare Provider,944.0,10/16/2019,Unauthorized Access/Disclosure,Email
LaBorde Therapy Center LLC,LA,Healthcare Provider,7000.0,10/16/2019,Hacking/IT Incident,Email
"Hamlin & Burton Liability Management, Inc.",FL,Business Associate,1500.0,10/14/2019,Hacking/IT Incident,Email
Southern New Mexico Neurosurgery LLC,NM,Healthcare Provider,11754.0,10/14/2019,Improper Disposal,"Electronic Medical Record, Network Server"
Monterey Health Center,OR,Healthcare Provider,5400.0,10/11/2019,Hacking/IT Incident,Network Server
Central Valley Regional Center,CA,Business Associate,15975.0,10/11/2019,Hacking/IT Incident,Email
"Abdul Memon, MD PLLC",AZ,Business Associate,1000.0,10/11/2019,Theft,Laptop
Magnolia Pediatrics,LA,Healthcare Provider,11100.0,10/9/2019,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record, Email, Network Server"
South Texas Dermatopathology Laboratory,TX,Healthcare Provider,15982.0,10/7/2019,Hacking/IT Incident,Network Server
Arkansas Health Group,AR,Healthcare Provider,903.0,10/7/2019,Unauthorized Access/Disclosure,Other
"Euphemia R. Brumskine, MD, LLC",MD,Healthcare Provider,850.0,10/4/2019,Hacking/IT Incident,Laptop
"The Methodist Hospitals, Inc.",IN,Healthcare Provider,68039.0,10/4/2019,Hacking/IT Incident,Email
Gary Smith and assoc inc DBA gary smith agency,MS,Health Plan,2000.0,10/4/2019,Unauthorized Access/Disclosure,Other
Defense Health Headquarters,VA,Health Plan,3500.0,10/4/2019,Unauthorized Access/Disclosure,Electronic Medical Record
San Francisco Department of Public Health,CA,Healthcare Provider,622.0,10/3/2019,Unauthorized Access/Disclosure,Paper/Films
University of Alabama at Birmingham,AL,Healthcare Provider,19557.0,10/3/2019,Hacking/IT Incident,Email
Humana Inc ,KY,Health Plan,756.0,10/2/2019,Unauthorized Access/Disclosure,Email
Sioux Falls VA Health Care System,SD,Healthcare Provider,564.0,10/1/2019,Unauthorized Access/Disclosure,Paper/Films
Telecare Corporation,CA,Healthcare Provider,823.0,9/30/2019,Hacking/IT Incident,Email
Goshen Health ,IN,Healthcare Provider,9160.0,9/30/2019,Hacking/IT Incident,Email
CHI Health Orthopedics Clinic -Lakeside,NE,Healthcare Provider,48000.0,9/30/2019,Hacking/IT Incident,Electronic Medical Record
Choctaw Nation Health Service Authority,OK,Healthcare Provider,500.0,9/27/2019,Hacking/IT Incident,Email
Beatitudes Campus ,AZ,Healthcare Provider,514.0,9/27/2019,Hacking/IT Incident,Email
Cancer Treatment Centers of America (CTCA) at Southeastern Regional Medical Center,GA,Healthcare Provider,3290.0,9/27/2019,Hacking/IT Incident,Email
Calibre CPA Group,MD,Business Associate,912.0,9/27/2019,Hacking/IT Incident,"Email, Network Server"
Kaiser Permanente,CA,Healthcare Provider,990.0,9/26/2019,Hacking/IT Incident,Email
"Women's Care Florida, LLC",FL,Healthcare Provider,527310.0,9/25/2019,Hacking/IT Incident,Network Server
"Perfect Teeth Yale, P.C.",CO,Healthcare Provider,15000.0,9/19/2019,Loss,Other Portable Electronic Device
Chirobody,WA,Healthcare Provider,525.0,9/19/2019,Unauthorized Access/Disclosure,Desktop Computer
Premier Gastroenterology Specialists,OH,Healthcare Provider,1260.0,9/18/2019,Unauthorized Access/Disclosure,Paper/Films
Wood Ranch Medical,CA,Healthcare Provider,5835.0,9/18/2019,Hacking/IT Incident,Network Server
"Little Rock Plastic Surgery, P.A.",AR,Healthcare Provider,6300.0,9/18/2019,Unauthorized Access/Disclosure,Email
"Medico of South Carolina, Inc.",SC,Business Associate,6489.0,9/17/2019,Unauthorized Access/Disclosure,Network Server
Magellan Healthcare,MD,Business Associate,55637.0,9/17/2019,Hacking/IT Incident,Email
National Imaging Associates,MD,Business Associate,589.0,9/17/2019,Hacking/IT Incident,Email
Intramural Practice Plan - Medical Sciences Campus - University of Puerto Rico,,Healthcare Provider,439753.0,9/16/2019,Hacking/IT Incident,Network Server
"Paragon Health, P.C.",MI,Healthcare Provider,4674.0,9/16/2019,Hacking/IT Incident,Email
Bates Technical College,WA,Healthcare Provider,2112.0,9/13/2019,Hacking/IT Incident,Network Server
Sweetser ,ME,Healthcare Provider,22000.0,9/13/2019,Hacking/IT Incident,Email
Kilgore Vision Center,AR,Healthcare Provider,46353.0,9/13/2019,Hacking/IT Incident,Network Server
"Rocky Mountain Health Maintenance Organization, Inc.",CO,Health Plan,1835.0,9/12/2019,Unauthorized Access/Disclosure,Paper/Films
Peoples Injury Network Northwest,WA,Healthcare Provider,27000.0,9/12/2019,Hacking/IT Incident,Network Server
Sarrell Dental,AL,Healthcare Provider,363617.0,9/12/2019,Hacking/IT Incident,Network Server
Pima County,AZ,Health Plan,1498.0,9/12/2019,Hacking/IT Incident,Email
June E. Nylen Cancer Center,IA,Healthcare Provider,927.0,9/11/2019,Hacking/IT Incident,Email
Cristo Rey Community Center - Family Health Center,MI,Healthcare Provider,1500.0,9/10/2019,Hacking/IT Incident,Network Server
Lindner Center of Hope,OH,Healthcare Provider,3537.0,9/9/2019,Hacking/IT Incident,Email
Berry Family Services,TX,Healthcare Provider,1751.0,9/8/2019,Hacking/IT Incident,Network Server
Premier Family Medical,UT,Healthcare Provider,320000.0,9/7/2019,Hacking/IT Incident,Network Server
Prisma - Midlands ,SC,Healthcare Provider,2770.0,9/6/2019,Theft,Paper/Films
Shore Specialty Consultants Pulmonology Group,NJ,Healthcare Provider,9700.0,9/6/2019,Hacking/IT Incident,Network Server
Alive Hospice,TN,Healthcare Provider,533.0,9/6/2019,Unauthorized Access/Disclosure,Paper/Films
Simmons Family Chiropractic,GA,Healthcare Provider,2000.0,9/6/2019,Theft,"Laptop, Other Portable Electronic Device"
Health Care Service Corporation,IL,Health Plan,998.0,9/6/2019,Unauthorized Access/Disclosure,Paper/Films
Rural Health Access Corporation dba Coalfield Health Center,WV,Healthcare Provider,874.0,9/6/2019,Unauthorized Access/Disclosure,Email
UC Health,OH,Healthcare Provider,95339.0,9/4/2019,Hacking/IT Incident,Email
East Central Indiana School Trust,IN,Health Plan,3259.0,9/3/2019,Hacking/IT Incident,Email
Fraser,MN,Healthcare Provider,2890.0,8/30/2019,Hacking/IT Incident,Email
"Fedcap Rehabilitation Services, Inc.",NY,Healthcare Provider,2158.0,8/29/2019,Hacking/IT Incident,Email
Source 1 Healthcare Solutions LLC,PA,Business Associate,15450.0,8/29/2019,Hacking/IT Incident,Email
Artesia General Hospital,NM,Healthcare Provider,13905.0,8/27/2019,Hacking/IT Incident,Email
Employers and Laborers Locals 100 and 397 Health & Welfare Fund,MO,Health Plan,560.0,8/26/2019,Hacking/IT Incident,Email
Lyons Companies,PA,Business Associate,1982.0,8/23/2019,Hacking/IT Incident,Email
The Cardiovascular Group,GA,Healthcare Provider,2168.0,8/23/2019,Unauthorized Access/Disclosure,Electronic Medical Record
Choctaw Nation Health Services Authority,OK,Healthcare Provider,550.0,8/23/2019,Hacking/IT Incident,Email
Conway Regional Health System,AR,Healthcare Provider,37000.0,8/23/2019,Hacking/IT Incident,Email
"Navicent Health, Inc. ",GA,Healthcare Provider,634.0,8/23/2019,Hacking/IT Incident,Email
The Carle Foundation Hospital,IL,Healthcare Provider,1653.0,8/22/2019,Hacking/IT Incident,Email
"NorthStar Anesthesia, P.A.",TX,Healthcare Provider,19807.0,8/22/2019,Unauthorized Access/Disclosure,Paper/Films
Massachusetts General Hospital,MA,Healthcare Provider,9900.0,8/22/2019,Hacking/IT Incident,Network Server
Regence BlueShield Washington,OR,Business Associate,684.0,8/21/2019,Unauthorized Access/Disclosure,Paper/Films
Wilson County Memorial Hospital District dba Connally Memorial Medical Center,TX,Healthcare Provider,7358.0,8/19/2019,Theft,Laptop
