Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information
Project Vida Health Center,TX,Healthcare Provider,4500,2/19/2021,Hacking/IT Incident,Network Server
"Fisher Titus Health, Inc.",OH,Health Plan,49636,2/18/2021,Hacking/IT Incident,Email
Steward West Division â€“ AR/LA/TX ACE,TX,Healthcare Provider,877,2/16/2021,Unauthorized Access/Disclosure,Electronic Medical Record
RF EYE PC dba Cochise Eye and Laser,AZ,Healthcare Provider,64710,2/12/2021,Hacking/IT Incident,Network Server
"Bowling Green Inn of Pensacola, LLC  DBA Twelve Oaks Recovery",FL,Healthcare Provider,9023,2/12/2021,Hacking/IT Incident,Network Server
Grand River Medical Group,IA,Healthcare Provider,37423,2/12/2021,Hacking/IT Incident,Email
Hope Healthcare Service,FL,Healthcare Provider,1152,2/11/2021,Hacking/IT Incident,Network Server
Pitkin County,CO,Healthcare Provider,1454,2/9/2021,Unauthorized Access/Disclosure,Network Server
Piedmont Health Services ,NC,Healthcare Provider,674,2/9/2021,Hacking/IT Incident,Network Server
Pennsylvania Adult & Teen Challenge ,PA,Healthcare Provider,7771,2/9/2021,Hacking/IT Incident,Email
HARVARD EYE ASSOCIATES,CA,Business Associate,29982,2/8/2021,Hacking/IT Incident,Network Server
"Gore Medical Management, LLC",GA,Healthcare Provider,79100,2/8/2021,Hacking/IT Incident,Desktop Computer
Hackley Community Care Center,MI,Healthcare Provider,2644,2/8/2021,Hacking/IT Incident,Email
"Nevada Health Centers, Inc.",NV,Healthcare Provider,7937,2/5/2021,Hacking/IT Incident,Email
The University of Pittsburgh Medical Center,PA,Healthcare Provider,36086,2/5/2021,Hacking/IT Incident,Email
UT Southwestern Medical Center,TX,Healthcare Provider,3640,2/5/2021,Unauthorized Access/Disclosure,Other
University of Pittsburgh Medical Center Health Plan ,PA,Health Plan,18900,2/5/2021,Hacking/IT Incident,Email
Granite Wellness Centers,CA,Healthcare Provider,15600,2/4/2021,Hacking/IT Incident,Network Server
"Texas Spine Consultants, LLP",TX,Healthcare Provider,25728,2/3/2021,Unauthorized Access/Disclosure,Network Server
"DataLogic Software, Inc. ",TX,Business Associate,7200,2/3/2021,Hacking/IT Incident,Network Server
Fairfax County Public Schools' Health Plan,VA,Business Associate,11056,2/2/2021,Hacking/IT Incident,Email
Nevada Orthopedic & Spine Center,NV,Healthcare Provider,50000,2/1/2021,Hacking/IT Incident,Network Server
Lake Charles Memorial Health System,LA,Healthcare Provider,3802,2/1/2021,Hacking/IT Incident,Email
"The House Next Door, Inc.",FL,Healthcare Provider,6000,2/1/2021,Hacking/IT Incident,Email
Montefiore Medical Center ,NY,Healthcare Provider,1670,1/29/2021,Unauthorized Access/Disclosure,Electronic Medical Record
Florida Healthy Kids Corporation,FL,Health Plan,3500000,1/29/2021,Hacking/IT Incident,Network Server
Bethesda Hospital ,FL,Healthcare Provider,18477,1/29/2021,Unauthorized Access/Disclosure,Electronic Medical Record
Leonard J. Chabert Medical Center,LA,Healthcare Provider,2254,1/29/2021,Hacking/IT Incident,Email
A Renewed Mind,OH,Healthcare Provider,2428,1/29/2021,Hacking/IT Incident,Email
County of Ramsey,MN,Healthcare Provider,8687,1/29/2021,Hacking/IT Incident,Network Server
"Prime Therapeutics, LLC",MN,Business Associate,1863,1/28/2021,Unauthorized Access/Disclosure,Paper/Films
The Richards Group,VT,Business Associate,15429,1/28/2021,Hacking/IT Incident,Email
Austin Hearing Services,TX,Healthcare Provider,600,1/23/2021,Unauthorized Access/Disclosure,Email
Florida Hospital Physician Group Inc.,FL,Healthcare Provider,13759,1/22/2021,Hacking/IT Incident,Electronic Medical Record
Inova Health System,VA,Healthcare Provider,1680,1/22/2021,Unauthorized Access/Disclosure,Email
Public Education Employees' Health Insurance Plan d/b/a PEEHIP,AL,Health Plan,1248,1/22/2021,Unauthorized Access/Disclosure,Paper/Films
"Lynn Community Health, Incorporated",MA,Healthcare Provider,1800,1/22/2021,Hacking/IT Incident,Email
Merrill Iron & Steel Health Benefit Plan,WI,Health Plan,899,1/21/2021,Hacking/IT Incident,Network Server
"Paraquad, Inc.",MO,Healthcare Provider,648,1/21/2021,Hacking/IT Incident,Network Server
"Limeade, Inc.",WA,Business Associate,668,1/20/2021,Hacking/IT Incident,Network Server
Krapf Group,PA,Health Plan,610,1/19/2021,Hacking/IT Incident,Network Server
Hendrick Health,TX,Healthcare Provider,640436,1/15/2021,Hacking/IT Incident,Network Server
"Montgomery Hospice, Inc.",MD,Healthcare Provider,6741,1/15/2021,Hacking/IT Incident,Email
Froedtert Health,WI,Healthcare Provider,760,1/15/2021,Unauthorized Access/Disclosure,Electronic Medical Record
Wisconsin Department of Health Services,WI,Health Plan,1281,1/15/2021,Hacking/IT Incident,Network Server
Center for Alternative Sentencing and Employment Services ,NY,Healthcare Provider,3994,1/15/2021,Hacking/IT Incident,Email
Precision Spine Care,TX,Healthcare Provider,20787,1/12/2021,Hacking/IT Incident,Email
Greater New Bedford Community Health Center,MA,Healthcare Provider,696,1/12/2021,Hacking/IT Incident,Email
WeCare TLC,FL,Healthcare Provider,2340,1/12/2021,Loss,Laptop
"KR Perio, Katherine Rodriguez, DMD",FL,Healthcare Provider,885,1/11/2021,Hacking/IT Incident,Network Server
Jefferson Healthcare,WA,Healthcare Provider,2543,1/11/2021,Hacking/IT Incident,Email
Feeling Great Sleep Medical Centers,NC,Healthcare Provider,5000,1/9/2021,Unauthorized Access/Disclosure,"Desktop Computer, Electronic Medical Record, Network Server"
"Leon Medical Centers, LLC",FL,Healthcare Provider,76661,1/8/2021,Hacking/IT Incident,Network Server
Roper St. Francis Healthcare,SC,Healthcare Provider,189761,1/8/2021,Hacking/IT Incident,Email
"American Anesthesiology, Inc.",NY,Healthcare Provider,1269074,1/8/2021,Hacking/IT Incident,Email
Managed Health Services (MHS),IN,Health Plan,11988,1/8/2021,Unauthorized Access/Disclosure,Paper/Films
Walgreen Company,IL,Healthcare Provider,16089,1/8/2021,Unauthorized Access/Disclosure,Email
University Medical Center of New Orleans,LA,Business Associate,16559,1/7/2021,Hacking/IT Incident,Email
Gastroenterology Consultants Ltd,NV,Healthcare Provider,2500,1/6/2021,Hacking/IT Incident,Network Server
Desert Oasis Healthcare,CA,Healthcare Provider,1122,1/4/2021,Unauthorized Access/Disclosure,Paper/Films
South Country Health Alliance ,MN,Health Plan,66874,12/31/2020,Hacking/IT Incident,Email
"Apex Laboratory, Inc. ",NY,Healthcare Provider,7102,12/31/2020,Hacking/IT Incident,Network Server
REEF Global Inc. ,FL,Health Plan,3951,12/31/2020,Hacking/IT Incident,Network Server
Mattapan Community Health Center,MA,Healthcare Provider,4073,12/31/2020,Hacking/IT Incident,Email
"Prestera Center for Mental Health Services, Inc.",WV,Healthcare Provider,3708,12/31/2020,Hacking/IT Incident,Email
"Simpson Senior Services, Inc.",PA,Healthcare Provider,3259,12/31/2020,Hacking/IT Incident,Email
"Workplace Vitality, Inc.",NY,Healthcare Provider,2850,12/31/2020,Hacking/IT Incident,Email
"Nissan North America, Inc. ",TN,Health Plan,50410,12/31/2020,Hacking/IT Incident,"Email, Network Server"
Northwestern Memorial Hospital,IL,Healthcare Provider,682,12/30/2020,Unauthorized Access/Disclosure,Electronic Medical Record
"Home State Health Plan, Inc.",MO,Health Plan,1020,12/30/2020,Unauthorized Access/Disclosure,Paper/Films
Peach State Health Plan,GA,Health Plan,3443,12/30/2020,Unauthorized Access/Disclosure,Paper/Films
Ambetter for Arizona Complete Health,AZ,Health Plan,518,12/29/2020,Unauthorized Access/Disclosure,Paper/Films
Superior HealthPlan,TX,Health Plan,3748,12/29/2020,Unauthorized Access/Disclosure,Paper/Films
Buckeye Health Plan,OH,Health Plan,606,12/29/2020,Unauthorized Access/Disclosure,Paper/Films
Sunshine State Health Plan,FL,Health Plan,3429,12/29/2020,Unauthorized Access/Disclosure,Paper/Films
Beebe Medical Foundation,DE,Healthcare Provider,56953,12/28/2020,Hacking/IT Incident,Network Server
"Total Vision, LLC",CA,Business Associate,138402,12/28/2020,Hacking/IT Incident,Network Server
"Community Health Resources, Inc",CT,Healthcare Provider,1634,12/28/2020,Unauthorized Access/Disclosure,Email
"AllCare Health, Inc.",OR,Health Plan,5707,12/28/2020,Hacking/IT Incident,Network Server
Magnolia Health Plan,MS,Health Plan,759,12/28/2020,Unauthorized Access/Disclosure,Paper/Films
"Five Points Optometrists, P.C. dba Five Points Eye Care",GA,Healthcare Provider,1223,12/24/2020,Hacking/IT Incident,Network Server
"Riverside Community Care, Inc.",MA,Healthcare Provider,6978,12/23/2020,Hacking/IT Incident,Network Server
Sky Lakes Medical Center,OR,Healthcare Provider,5514,12/23/2020,Hacking/IT Incident,Network Server
"Tom Wood East, Inc.",IN,Health Plan,912,12/23/2020,Hacking/IT Incident,Network Server
"Agency for Community Treatment Services, Inc.",FL,Healthcare Provider,73825,12/22/2020,Hacking/IT Incident,Network Server
Gainwell Technologies LLC ,AR,Business Associate,3317,12/22/2020,Unauthorized Access/Disclosure,Paper/Films
Aetna ACE,CT,Health Plan,484157,12/22/2020,Hacking/IT Incident,Email
Health Plan of San Joaquin,CA,Health Plan,418842,12/21/2020,Hacking/IT Incident,Email
Priority Health,MI,Health Plan,36812,12/21/2020,Hacking/IT Incident,Email
"Kristina T Nguyen, DDS, PC",VA,Healthcare Provider,8182,12/21/2020,Hacking/IT Incident,Network Server
"BlueCross BlueShield of Tennessee, Inc.",TN,Health Plan,1340,12/18/2020,Hacking/IT Incident,Email
GenRx Pharmacy,AZ,Healthcare Provider,137110,12/18/2020,Hacking/IT Incident,Network Server
"Iowa Total Care, Inc.",IA,Health Plan,536,12/18/2020,Unauthorized Access/Disclosure,Email
"Wilmington Surgical Associates, P.A.",NC,Healthcare Provider,114834,12/17/2020,Hacking/IT Incident,Network Server
"Comprehensive Neurology, PC",NY,Healthcare Provider,6800,12/17/2020,Hacking/IT Incident,"Electronic Medical Record, Network Server"
"Community Eye Care, LLC",NC,Health Plan,149804,12/17/2020,Hacking/IT Incident,Email
"MEDNAX Services, Inc.",FL,Business Associate,1442997,12/16/2020,Hacking/IT Incident,Email
Benjamin Rose Institute on Aging,OH,Healthcare Provider,1452,12/15/2020,Hacking/IT Incident,Email
"Midwest Geriatric Management, LLC",MO,Healthcare Provider,4814,12/14/2020,Hacking/IT Incident,Email
Nebraska Methodist Health System,NE,Healthcare Provider,39912,12/14/2020,Hacking/IT Incident,Network Server
"Beacon Health Solutions, LLC",FL,Business Associate,20151,12/11/2020,Hacking/IT Incident,Network Server
Southeast Health Center of Ripley County,MO,Healthcare Provider,5944,12/11/2020,Hacking/IT Incident,Network Server
Holy Redeemer Ambulatory Surgical Center,PA,Healthcare Provider,1295,12/11/2020,Hacking/IT Incident,Email
"HMC Healthworks, Inc.",FL,Business Associate,985,12/11/2020,Hacking/IT Incident,Email
Medica Central Insurance Company,MN,Health Plan,4492,12/11/2020,Unauthorized Access/Disclosure,Paper/Films
Wellness Pharmacy,PA,Healthcare Provider,545,12/10/2020,Theft,Paper/Films
26th & Lehigh Pharmacy,PA,Healthcare Provider,549,12/10/2020,Theft,Paper/Films
Diamond Pharmacy ,PA,Healthcare Provider,616,12/10/2020,Theft,Paper/Films
"RXN, Inc. d/b/a Lancaster Pharmacy",PA,Healthcare Provider,856,12/10/2020,Theft,Paper/Films
Cedar Springs Hospital,CO,Healthcare Provider,2283,12/9/2020,Loss,Other Portable Electronic Device
"Monroe Surgical Hospital, LLC",LA,Healthcare Provider,3500,12/9/2020,Hacking/IT Incident,Network Server
"The Presbyterian Homes, Inc. ",NC,Healthcare Provider,1041,12/9/2020,Hacking/IT Incident,Network Server
Texas Tech University Health Sciences Center,TX,Healthcare Provider,36739,12/9/2020,Hacking/IT Incident,Network Server
Sonoma Valley Healthcare District,CA,Healthcare Provider,69000,12/9/2020,Hacking/IT Incident,Email
"Employment Specialists of Maine, Inc.",ME,Healthcare Provider,1639,12/9/2020,Hacking/IT Incident,Network Server
Brigham and Womenâ€™s Hospital ,MA,Healthcare Provider,882,12/8/2020,Unauthorized Access/Disclosure,Email
"Dental Care Alliance, LLC",FL,Business Associate,1723375,12/8/2020,Hacking/IT Incident,Network Server
Mirra Health Care,FL,Business Associate,1064,12/8/2020,Unauthorized Access/Disclosure,Email
Central Florida Cardiology Group ,FL,Healthcare Provider,2817,12/7/2020,Unauthorized Access/Disclosure,"Other Portable Electronic Device, Paper/Films"
"Meade Physicians, Inc. dba Brandenburg Family Medicine",KY,Healthcare Provider,696,12/7/2020,Unauthorized Access/Disclosure,Paper/Films
Mercy Health,MO,Healthcare Provider,11187,12/4/2020,Unauthorized Access/Disclosure,Electronic Medical Record
Meharry Medical College,TN,Healthcare Provider,20963,12/4/2020,Hacking/IT Incident,Email
Family Health Center of Worcester,MA,Healthcare Provider,566,12/4/2020,Hacking/IT Incident,Network Server
McLeroy & Klein Medical Clinic,TX,Healthcare Provider,3200,12/4/2020,Unauthorized Access/Disclosure,Paper/Films
"Regional Women's Health Group, LLC d/b/a Sincera Reproductive Medicine",PA,Healthcare Provider,37989,12/3/2020,Hacking/IT Incident,Network Server
Allegheny Health Network,PA,Healthcare Provider,299507,12/3/2020,Hacking/IT Incident,Network Server
AMITA Health,IL,Healthcare Provider,261054,12/3/2020,Hacking/IT Incident,Network Server
DMBA,UT,Health Plan,774,12/2/2020,Unauthorized Access/Disclosure,Desktop Computer
Montefiore Medical Center ,NY,Healthcare Provider,670,12/1/2020,Unauthorized Access/Disclosure,Paper/Films
"Liv-On Family Care Center, PA",MN,Healthcare Provider,1580,12/1/2020,Theft,"Desktop Computer, Laptop, Other Portable Electronic Device"
"US Med, LLC",FL,Healthcare Provider,685,11/30/2020,Hacking/IT Incident,Network Server
Brazos Valley Plastic Surgery,TX,Healthcare Provider,2255,11/26/2020,Unauthorized Access/Disclosure,Email
Tufts Health Plan,MA,Health Plan,60545,11/25/2020,Hacking/IT Incident,Email
US Fertility LLC,MD,Business Associate,878550,11/25/2020,Hacking/IT Incident,Email
Bardstown Primary Care dba: Physicians to Children & Adolescents,KY,Healthcare Provider,859,11/24/2020,Unauthorized Access/Disclosure,Other
Hillcrest Nursing Center,IL,Healthcare Provider,1030,11/24/2020,Unauthorized Access/Disclosure,Electronic Medical Record
Presbyterian Health Plan,NM,Business Associate,3557,11/23/2020,Unauthorized Access/Disclosure,Paper/Films
The Tree House Child Advocacy Center of Montgomery County,MD,Business Associate,514,11/23/2020,Unauthorized Access/Disclosure,Network Server
"Peachtree Immediate Care FP, LLC",GA,Healthcare Provider,1462,11/23/2020,Hacking/IT Incident,Email
One Touch Point,WI,Business Associate,500,11/23/2020,Unauthorized Access/Disclosure,Paper/Films
Interim HealthCare of the Capital Region,NY,Healthcare Provider,1127,11/23/2020,Hacking/IT Incident,Email
"Bilingual Psychological Associates, PC",TX,Healthcare Provider,1925,11/23/2020,Unauthorized Access/Disclosure,"Electronic Medical Record, Network Server"
"The Nebraska Medical Center and University of Nebraska Medical Center, Affiliated Covered Entities",NE,Healthcare Provider,216472,11/23/2020,Hacking/IT Incident,Network Server
Indian Health Council Inc.,CA,Healthcare Provider,5769,11/20/2020,Hacking/IT Incident,Network Server
"Harvard Pilgrim Health Care, Inc. ",MA,Business Associate,8027,11/20/2020,Unauthorized Access/Disclosure,Paper/Films
Louisiana State University- Health Care Services Division,LA,Healthcare Provider,58005,11/20/2020,Hacking/IT Incident,Email
"Bayhealth Medical Center, Inc.",DE,Healthcare Provider,78006,11/20/2020,Hacking/IT Incident,Network Server
Planned Parenthood of Metro Washington,DC,Healthcare Provider,142982,11/20/2020,Hacking/IT Incident,Network Server
Herron Business Law,PA,Business Associate,1419,11/20/2020,Unauthorized Access/Disclosure,Paper/Films
Legacy Community Health Services,TX,Healthcare Provider,3076,11/20/2020,Hacking/IT Incident,Email
Golden Gate Regional Center ,CA,Business Associate,11315,11/20/2020,Hacking/IT Incident,Network Server
Walmart Inc.,AR,Healthcare Provider,524,11/20/2020,Theft,Paper/Films
"Hi-Tech Artificial Limbs, Inc.",KY,Healthcare Provider,529,11/20/2020,Loss,Other
"AspenPointe, Inc. ",CO,Healthcare Provider,295617,11/19/2020,Hacking/IT Incident,Network Server
"Jonathan Woolfson, MD, PC",GA,Healthcare Provider,1693,11/19/2020,Theft,Laptop
"Paragon Health, P.C.",MI,Healthcare Provider,685,11/18/2020,Hacking/IT Incident,Email
University Hopsital,NJ,Healthcare Provider,39207,11/13/2020,Hacking/IT Incident,Network Server
"Northpoint Recovery Holdings, LLC",ID,Healthcare Provider,1866,11/13/2020,Hacking/IT Incident,Email
PhySynergy LLC,GA,Healthcare Provider,3667,11/13/2020,Hacking/IT Incident,Network Server
Mercy Iowa City,IA,Healthcare Provider,92795,11/13/2020,Hacking/IT Incident,Email
Cornerstones of Care,MO,Healthcare Provider,15680,11/12/2020,Hacking/IT Incident,Other
"Open Door Family Medical Center, Inc.",NY,Healthcare Provider,36474,11/12/2020,Hacking/IT Incident,"Email, Network Server"
"Delaware Department of Health and Social Services, Division of Public Health",DE,Healthcare Provider,9930,11/12/2020,Unauthorized Access/Disclosure,Email
ProMedica Bixby Hospital,MI,Healthcare Provider,3472,11/12/2020,Unauthorized Access/Disclosure,Electronic Medical Record
CareSource West Virginia Co,OH,Health Plan,1587,11/11/2020,Unauthorized Access/Disclosure,Paper/Films
CareSource Kentucky Co,OH,Health Plan,8320,11/11/2020,Unauthorized Access/Disclosure,Paper/Films
"CareSource Indiana, Inc",OH,Health Plan,10021,11/11/2020,Unauthorized Access/Disclosure,Paper/Films
CareSource ,OH,Health Plan,8730,11/11/2020,Unauthorized Access/Disclosure,Paper/Films
Jekyll Island-State Park Authority - Jekyll Island Fire/EMS,GA,Healthcare Provider,7046,11/9/2020,Hacking/IT Incident,"Desktop Computer, Network Server"
"Bruce L. Boros, M.D., P.A. DBA Advanced Urgent Care",FL,Healthcare Provider,58823,11/6/2020,Hacking/IT Incident,Network Server
"Kaiser Foundation Health Plan of Georgia, Inc. ",GA,Health Plan,10205,11/6/2020,Unauthorized Access/Disclosure,Paper/Films
Galstan & Ward Family and Cosmetic Dentistry,VA,Healthcare Provider,11258,11/6/2020,Hacking/IT Incident,"Email, Network Server"
Seeley Enterprises Company,OH,Healthcare Provider,16196,11/6/2020,Hacking/IT Incident,Network Server
Conway Regional Health System,AR,Healthcare Provider,2945,11/6/2020,Unauthorized Access/Disclosure,Email
Physicians Apothecary,AL,Healthcare Provider,2000,11/6/2020,Improper Disposal,Paper/Films
People Incorporated,MN,Healthcare Provider,27500,11/6/2020,Hacking/IT Incident,Email
Lawrence General Hospital,MA,Healthcare Provider,176587,11/5/2020,Hacking/IT Incident,Network Server
Lake County Health Department and Community Health Center,IL,Healthcare Provider,3815,11/5/2020,Unauthorized Access/Disclosure,Email
Pristine Dental ,MA,Healthcare Provider,1428,11/5/2020,Hacking/IT Incident,Network Server
Methodist Hospital of Southern California,CA,Healthcare Provider,39881,11/4/2020,Hacking/IT Incident,Network Server
Alamance Skin Center,NC,Healthcare Provider,4080,11/4/2020,Hacking/IT Incident,Electronic Medical Record
The GEO Group Inc.,FL,Healthcare Provider,3991,11/4/2020,Hacking/IT Incident,Network Server
Chesapeake Regional Healthcare,VA,Healthcare Provider,24000,11/3/2020,Hacking/IT Incident,Network Server
Virginia Hospital Center Health System,VA,Healthcare Provider,23846,10/31/2020,Hacking/IT Incident,Network Server
Bondurant-Farrar Community School District,IA,Healthcare Provider,603,10/30/2020,Hacking/IT Incident,Network Server
Johnston Community School District,IA,Healthcare Provider,1656,10/30/2020,Hacking/IT Incident,Network Server
Clinton Community School District,IA,Healthcare Provider,1643,10/30/2020,Hacking/IT Incident,Network Server
Yale New Haven Hospital,CT,Healthcare Provider,15904,10/30/2020,Hacking/IT Incident,Network Server
Urbandale Community School District,IA,Healthcare Provider,647,10/30/2020,Hacking/IT Incident,Network Server
Carlisle Community School District,IA,Healthcare Provider,562,10/30/2020,Hacking/IT Incident,Network Server
Cedar Falls Community School District,IA,Healthcare Provider,1445,10/30/2020,Hacking/IT Incident,Network Server
Connecticut Department of Social Services,CT,Health Plan,36915,10/30/2020,Hacking/IT Incident,Email
NYU Langone Hospitals ,NY,Healthcare Provider,44009,10/30/2020,Hacking/IT Incident,Network Server
Dubuque Community School District,IL,Healthcare Provider,4704,10/30/2020,Hacking/IT Incident,Network Server
Saydel Community School District,IA,Healthcare Provider,590,10/30/2020,Hacking/IT Incident,Network Server
Lewis Central Community School District,IA,Healthcare Provider,905,10/30/2020,Hacking/IT Incident,Network Server
Rady Childrenâ€™s Hospital â€“ San Diego,CA,Healthcare Provider,19837,10/30/2020,Hacking/IT Incident,Network Server
"My Choice Housecalls, LLC",FL,Healthcare Provider,3370,10/30/2020,Theft,Laptop
"Timberline Billing Service, LLC",IA,Business Associate,117088,10/30/2020,Hacking/IT Incident,Network Server
CCPOA Benefit Trust Fund,CA,Health Plan,80000,10/29/2020,Hacking/IT Incident,Network Server
 Muscatine Community School District,IA,Healthcare Provider,2039,10/29/2020,Hacking/IT Incident,Network Server
Clear Creek Amana Community School District,IA,Healthcare Provider,771,10/29/2020,Hacking/IT Incident,Network Server
Maquoketa Community School District,IA,Healthcare Provider,743,10/29/2020,Hacking/IT Incident,Network Server
 Charles City Community School District,IA,Healthcare Provider,580,10/29/2020,Hacking/IT Incident,Network Server
Burlington Community School District,IA,Healthcare Provider,1884,10/29/2020,Hacking/IT Incident,Network Server
 Indianola Community School District,IA,Healthcare Provider,1141,10/29/2020,Hacking/IT Incident,Network Server
MK Periodontics and Implants,WA,Healthcare Provider,8000,10/29/2020,Hacking/IT Incident,Network Server
"Tri-State Specialists, LLP",IA,Healthcare Provider,17050,10/29/2020,Unauthorized Access/Disclosure,Email
"Kids First Dentistry & Orthodontics, a subsidiary of Professional Dental Alliance of Connecticut, PLLC",CT,Healthcare Provider,5000,10/28/2020,Hacking/IT Incident,Network Server
"First Impressions Orthodontics, a subsidiary of Professional Dental Alliance of Connecticut PLLC",CT,Healthcare Provider,20727,10/28/2020,Hacking/IT Incident,Network Server
State of North Dakota,ND,Healthcare Provider,35416,10/27/2020,Hacking/IT Incident,Email
Luxottica of America Inc.,OH,Business Associate,829454,10/27/2020,Hacking/IT Incident,Network Server
"Northwest Eye Surgeons, P.C. and Sight Partners LLC",WA,Healthcare Provider,20838,10/26/2020,Hacking/IT Incident,Network Server
Jemez Health & Human Services,NM,Healthcare Provider,4290,10/26/2020,Improper Disposal,"Desktop Computer, Laptop"
Allergy & Asthma Center,TX,Healthcare Provider,711,10/26/2020,Unauthorized Access/Disclosure,Email
AdventHealth Shawnee Mission,KS,Healthcare Provider,28766,10/26/2020,Hacking/IT Incident,Network Server
"Centerstone of Indiana, Inc.",IN,Healthcare Provider,11638,10/23/2020,Hacking/IT Incident,Email
"Centerstone of Tennessee, Inc.",TN,Healthcare Provider,50965,10/23/2020,Hacking/IT Incident,Email
"The Bridge, Inc.",NY,Healthcare Provider,16431,10/23/2020,Hacking/IT Incident,Email
Lycoming-Clinton Joinder Board Programs,PA,Business Associate,14500,10/23/2020,Hacking/IT Incident,Email
Perry County Memorial Hospital,MO,Healthcare Provider,4538,10/22/2020,Hacking/IT Incident,Email
"Arkansas Otolaryngology Center, PA",AR,Healthcare Provider,12217,10/22/2020,Hacking/IT Incident,Email
Community Clinic of Maui,HI,Healthcare Provider,1784,10/22/2020,Unauthorized Access/Disclosure,Paper/Films
"Intellirad Imaging, LLC ",FL,Healthcare Provider,10261,10/20/2020,Hacking/IT Incident,Electronic Medical Record
Provider Health Services,LA,Healthcare Provider,1700,10/20/2020,Hacking/IT Incident,Network Server
AdventHealth  ,FL,Healthcare Provider,315337,10/20/2020,Hacking/IT Incident,Network Server
Moffitt Cancer Center,FL,Healthcare Provider,95695,10/20/2020,Hacking/IT Incident,Network Server
"Ascend Clinical, LLC",CA,Healthcare Provider,77443,10/19/2020,Hacking/IT Incident,Email
OSF HealthCare System,IL,Healthcare Provider,94171,10/19/2020,Hacking/IT Incident,Network Server
Arkansas Methodist Medical Center,AR,Healthcare Provider,4916,10/19/2020,Hacking/IT Incident,Network Server
Geisinger,PA,Healthcare Provider,86412,10/19/2020,Hacking/IT Incident,Network Server
"BryLin Hospitals, Incorporated",NY,Healthcare Provider,8000,10/17/2020,Hacking/IT Incident,Network Server
"DJO, LLC",CA,Healthcare Provider,3429,10/16/2020,Hacking/IT Incident,Email
Center for Autism and Related Disorders,CA,Healthcare Provider,1440,10/16/2020,Hacking/IT Incident,Email
University of Michigan/Michigan Medicine,MI,Healthcare Provider,1062,10/16/2020,Unauthorized Access/Disclosure,Email
WellMed Medical Management,TX,Healthcare Provider,591,10/15/2020,Theft,Paper/Films
Stamford Hospital ,CT,Healthcare Provider,1050,10/15/2020,Hacking/IT Incident,Network Server
Mary Rutan Hospital,OH,Healthcare Provider,1676,10/15/2020,Unauthorized Access/Disclosure,Network Server
Bonnie Brae,NJ,Healthcare Provider,884,10/14/2020,Hacking/IT Incident,Network Server
"Passavant Memorial Homes, Inc.",PA,Healthcare Provider,36000,10/14/2020,Hacking/IT Incident,Network Server
Heavenly Hands Family Medical Clinic,TX,Healthcare Provider,1837,10/14/2020,Unauthorized Access/Disclosure,Electronic Medical Record
Lawrence + Memorial Hospital,CT,Healthcare Provider,21617,10/13/2020,Hacking/IT Incident,Network Server
"Practice Transformation Solutions, LLC",VA,Business Associate,1678,10/13/2020,Hacking/IT Incident,Email
"Health and Wellness Clinic, PLLC",WA,Healthcare Provider,883,10/13/2020,Theft,Paper/Films
Coast Dental,FL,Healthcare Provider,1700,10/13/2020,Theft,Other
"The Medical College of Wisconsin, Inc.",WI,Healthcare Provider,5655,10/11/2020,Hacking/IT Incident,Network Server
Georgia Department of Human Services ,GA,Healthcare Clearing House,45732,10/9/2020,Hacking/IT Incident,Email
Greenwich Hospital,CT,Healthcare Provider,95000,10/9/2020,Hacking/IT Incident,Network Server
"Froedtert & the Medical College of Wisconsin Community Physicians, Inc.",WI,Healthcare Provider,3074,10/9/2020,Hacking/IT Incident,Network Server
Einstein Healthcare Network,PA,Healthcare Provider,353616,10/9/2020,Hacking/IT Incident,Email
Cedar County Iowa,IA,Healthcare Provider,1138,10/8/2020,Hacking/IT Incident,Email
"Milestone Electric, Inc.",TX,Health Plan,4973,10/8/2020,Hacking/IT Incident,Email
McLaren Oakland,MI,Healthcare Provider,2219,10/8/2020,Unauthorized Access/Disclosure,Network Server
The Opportunity Alliance,ME,Healthcare Provider,4500,10/7/2020,Hacking/IT Incident,Network Server
"Clinical & Forensic Consultation, LLC d/b/a Thriveworks Bristol, Johnson City, and Knoxville",TN,Healthcare Provider,1360,10/7/2020,Unauthorized Access/Disclosure,Email
Atlantic Medical Imaging,NJ,Healthcare Provider,74877,10/6/2020,Hacking/IT Incident,Email
Body by Ravi Plastic Surgery and Aesthetics,TX,Healthcare Provider,2618,10/5/2020,Hacking/IT Incident,Network Server
Mayo Clinic,MN,Healthcare Provider,1614,10/5/2020,Unauthorized Access/Disclosure,Electronic Medical Record
"Adults and Children with Learning and Developmental Disabilities, Inc.",NY,Healthcare Provider,603,10/2/2020,Hacking/IT Incident,Network Server
Premier Health Partners,OH,Healthcare Provider,254786,10/2/2020,Unauthorized Access/Disclosure,Email
Beaufort Memorial Hospital,SC,Healthcare Provider,12636,10/2/2020,Unauthorized Access/Disclosure,Paper/Films
"Practice Transformation Solutions, LLC",VA,Business Associate,1016,10/2/2020,Hacking/IT Incident,Email
Virginia Cancer Institute,VA,Healthcare Provider,6258,10/2/2020,Hacking/IT Incident,Email
Presbyterian Healthcare Services,NM,Healthcare Provider,193223,10/2/2020,Hacking/IT Incident,Other
